"diagram_name","title","pub_year","ris","citation_short","url","pid","pid_type","accessedutc"
"tas_geom","A Chemical Classification of Volcanic Rocks Based on the Total Alkali-Silica Diagram",1986,"TY  - JOUR
AU  - BAS, M. J. LE
AU  - MAITRE, R. W. LE
AU  - STRECKEISEN, A.
AU  - ZANETTIN, B.
AU  - IUGS Subcommission on the Systematics of Igneous Rocks
T1  - A Chemical Classification of Volcanic Rocks Based on the Total Alkali-Silica Diagram
PY  - 1986
Y1  - 1986/06/01
DO  - 10.1093/petrology/27.3.745
JO  - Journal of Petrology
JA  - J Petrology
VL  - 27
IS  - 3
SP  - 745
EP  - 750
SN  - 0022-3530
AB  - This contribution summarizes and brings up to date the recommendations made by the IUGS Subcommission on the Systematics of Igneous Rocks for the classification of volcanic rocks when modal analyses are lacking. The classification is on a non-genetic basis using the total alkali-silica (TAS) diagram, and is as nearly consistent as possible with the QAPF modal classification. The diagram is divided into 15 fields, two of which contain two root names which are separated according to other chemical criteria, giving the following 17 root names: basalt, basaltic andesite, andesite, dacite, rhyolite, trachybasalt, basaltic trachyandesite, trachyandesite, trachyte, trachydacite, picrobasalt, basanite, tephrite, phonotephrite, tephriphonolite, phonolite and foidite. Using Na-K criteria, trachybasalt may be further divided into the sub-root names hawaiite and potassic trachybasalt, basaltic trachyandesite into the sub-root names mugearite and shoshonite, and trachyandesite into the sub-root names benmoreite and latite.
Y2  - 3/4/2026
UR  - https://doi.org/10.1093/petrology/27.3.745
ER  - ","Le Bas et al. 1986","https://academic.oup.com/petrology/article-abstract/27/3/745/1497841","10.1093/petrology/27.3.745","doi","17-03-2026"
"tas_geom","Naming materials in the magma/igneous rock system",1994,"TY  - JOUR
T1  - Naming materials in the magma/igneous rock system
AU  - Middlemost, Eric A.K.
JO  - Earth-Science Reviews
VL  - 37
IS  - 3
SP  - 215
EP  - 224
PY  - 1994
DA  - 1994/12/01/
SN  - 0012-8252
DO  - https://doi.org/10.1016/0012-8252(94)90029-9
UR  - https://www.sciencedirect.com/science/article/pii/0012825294900299
AB  - The main aim of igneous petrology is to develop a complete specification of the magma/igneous rock system. This paper is a sequel to an earlier essay (Middlemost, 1991) on the classification of igneous rocks and magmas. It explores the ways and means of developing a single, consistent method of naming all igneous materials. All modal classifications are fettered by problems arising from heteromorphism, extremes in grain size, and the presence of glass. Only chemical parameters can provide a reliable and straightforward method of classifying all the common igneous rocks and their magmas. This is undoubtedly true of glassy rocks and magmas. The potential of the TAS diagram in this new and enlarged role is evaluated, resulting in a modification of some boundaries recommended for the volcanic rocks. A new comprehensive chemical classification of the plutonic rocks is introduced. To keep it and the volcanic classification in tandem, several new terms are proposed. They include gabbroic diorite as a plutonic equivalent of basaltic andesite and peridotgabbro as a plutonic equivalent of picrobasalt. Peridotite is defined as the plutonic equivalent of picrite and by taking the idea of equivalence a step further, it is defined as a peridotgabbroic or gabbroic rock that contains more than 18% MgO and less than 2% total alkalis. The picrobasaltic and basaltic rocks that contained more than 18% MgO and more than 2% (Na2O + K2O) are called alkalic picrites. Their plutonic equivalents are named alkalic peridotites. A benefit of this new chemical classification of plutonic rocks is that it enables one to avoid the awkward term ultramafic. A single classification that links magmas, plutonic and volcanic rocks should be appreciated by all geochemists and petrologists who amass, and manipulate, large geochemical databases but are unwilling, or unable, to carry out quantitative modal analyses. This classification also enables geoscientists to focus on magma — the most important concept in igneous petrology.
ER  - ","Middlemost 1994","https://www.sciencedirect.com/science/article/abs/pii/0012825294900299","10.1016/0012-8252(94)90029-9","doi","09-08-2026"
"ewart_1982_geom","The mineralogy and petrology of Tertiary-Recent orogenic volcanic rocks with special reference to the andesitic-basaltic compositional range",1982,"TY  - CHAP
AU  - Ewart, A
A2  - Thorpe, R S
TI  - The Mineralogy and Petrology of Tertiary-Recent Orogenic Volcanic Rocks:
      With a Special Reference to the Andesitic-Basaltic Compositional Range
T2  - Andesites: Orogenic Andesites and Related Rocks
SP  - 25-95
PY  - 1982
DA  - 1982
CY  - Wiley, Chichester
ER  - ","Ewart 1982",NULL,"978-0471280347","isbn","09-08-2026"
"winchester_and_floyd_nby_sio2_geom","Geochemical discrimination of different magma series and their differentiation products using immobile elements",1977,"TY  - JOUR
T1  - Geochemical discrimination of different magma series and their differentiation products using immobile elements
AU  - Winchester, J.A.
AU  - Floyd, P.A.
JO  - Chemical Geology
VL  - 20
SP  - 325
EP  - 343
PY  - 1977
DA  - 1977/01/01/
SN  - 0009-2541
DO  - https://doi.org/10.1016/0009-2541(77)90057-2
UR  - https://www.sciencedirect.com/science/article/pii/0009254177900572
AB  - The abundance and distribution of selected minor and trace elements (Ti, Zr, Y, Nb, Ce, Ga and Sc) in fresh volcanic rocks can be used to classify the differentiation products of subalkaline and alkaline magma series in a similar manner to methods using normative or major-element indices. A number of variation diagrams may be used to distinguish common volcanic rock types in terms of the above elements. As these elements are immobile during post-consolidation alteration and metamorphic processes, this method of rock-type classification may, when applied to metavolcanic rocks, prove more reliable than the commonly used methods that utilize major elements, some of which are known to be mobile.
ER  - ","Winchester and Floyd 1977","https://www.sciencedirect.com/science/article/abs/pii/0009254177900572","10.1016/0009-2541(77)90057-2","doi","09-08-2026"
"winchester_and_floyd_nby_zrtio2_geom","Geochemical discrimination of different magma series and their differentiation products using immobile elements",1977,"TY  - JOUR
T1  - Geochemical discrimination of different magma series and their differentiation products using immobile elements
AU  - Winchester, J.A.
AU  - Floyd, P.A.
JO  - Chemical Geology
VL  - 20
SP  - 325
EP  - 343
PY  - 1977
DA  - 1977/01/01/
SN  - 0009-2541
DO  - https://doi.org/10.1016/0009-2541(77)90057-2
UR  - https://www.sciencedirect.com/science/article/pii/0009254177900572
AB  - The abundance and distribution of selected minor and trace elements (Ti, Zr, Y, Nb, Ce, Ga and Sc) in fresh volcanic rocks can be used to classify the differentiation products of subalkaline and alkaline magma series in a similar manner to methods using normative or major-element indices. A number of variation diagrams may be used to distinguish common volcanic rock types in terms of the above elements. As these elements are immobile during post-consolidation alteration and metamorphic processes, this method of rock-type classification may, when applied to metavolcanic rocks, prove more reliable than the commonly used methods that utilize major elements, some of which are known to be mobile.
ER  - ","Winchester and Floyd 1977","https://www.sciencedirect.com/science/article/abs/pii/0009254177900572","10.1016/0009-2541(77)90057-2","doi","09-08-2026"
"winchester_and_floyd_zrtio2_sio2_geom","Geochemical discrimination of different magma series and their differentiation products using immobile elements",1977,"TY  - JOUR
T1  - Geochemical discrimination of different magma series and their differentiation products using immobile elements
AU  - Winchester, J.A.
AU  - Floyd, P.A.
JO  - Chemical Geology
VL  - 20
SP  - 325
EP  - 343
PY  - 1977
DA  - 1977/01/01/
SN  - 0009-2541
DO  - https://doi.org/10.1016/0009-2541(77)90057-2
UR  - https://www.sciencedirect.com/science/article/pii/0009254177900572
AB  - The abundance and distribution of selected minor and trace elements (Ti, Zr, Y, Nb, Ce, Ga and Sc) in fresh volcanic rocks can be used to classify the differentiation products of subalkaline and alkaline magma series in a similar manner to methods using normative or major-element indices. A number of variation diagrams may be used to distinguish common volcanic rock types in terms of the above elements. As these elements are immobile during post-consolidation alteration and metamorphic processes, this method of rock-type classification may, when applied to metavolcanic rocks, prove more reliable than the commonly used methods that utilize major elements, some of which are known to be mobile.
ER  - ","Winchester and Floyd 1977","https://www.sciencedirect.com/science/article/abs/pii/0009254177900572","10.1016/0009-2541(77)90057-2","doi","09-08-2026"
"hastie_geom","Classification of Altered Volcanic Island Arc Rocks using Immobile Trace Elements: Development of the Th–Co Discrimination Diagram",2007,"TY  - JOUR
AU  - Hastie, A. R.
AU  - Kerr, A. C.
AU  - Pearce, J. A.
AU  - Mitchell, S. F.
T1  - Classification of Altered Volcanic Island Arc Rocks using Immobile Trace Elements: Development of the Th–Co Discrimination Diagram
PY  - 2007
Y1  - 2007/12/01
DO  - 10.1093/petrology/egm062
JO  - Journal of Petrology
JA  - J Petrology
VL  - 48
IS  - 12
SP  - 2341
EP  - 2357
SN  - 0022-3530
AB  - Many diagrams conventionally used to classify igneous rocks utilize mobile elements, which commonly renders them unreliable for classifying rocks from the geological record. The K2O–SiO2 diagram, used to subdivide volcanic arc rocks into rock type (basalts, basaltic andesites, andesites, dacites and rhyolites) and volcanic series (tholeiitic, calc-alkaline, high-K calc-alkaline and shoshonitic), is particularly susceptible to the effects of alteration. However, by using Th as a proxy for K2O and Co as a proxy for SiO2 it is possible to construct a topologically similar diagram that performs the same task but is more robust for weathered and metamorphosed rocks. This study uses &gt;1000 carefully filtered Tertiary–Recent island arc samples to construct a Th–Co classification diagram. A ‘testing set’ comprising data not used in constructing the diagram indicates a classification success rate of c. 80%. When applied to some hydrothermally altered, then tropically weathered Cretaceous volcanic arc lavas from Jamaica, the diagram demonstrates the presence of a tholeiitic volcanic arc series dominated by intermediate–acid lavas overlain by a calc-alkaline series dominated by basic lavas.
Y2  - 3/9/2026
UR  - https://doi.org/10.1093/petrology/egm062
ER  - ","Hastie et al. 2007","https://academic.oup.com/petrology/article/48/12/2341/1546993","10.1093/petrology/egm062","doi","09-08-2026"
"hansen_y_sry_geom","Crustal melting in the lower parts of island arcs: an example from the Bremanger Granitoid Complex, west Norwegian Caledonides",2002,"TY  - JOUR
AU  - Hansen, Jogvan
AU  - Skjerlie, Kjell P.
AU  - Pedersen, Rolf B.
AU  - De La Rosa, Jesús
PY  - 2002
DA  - 2002/06/01
TI  - Crustal melting in the lower parts of island arcs: an example from the Bremanger Granitoid Complex, west Norwegian Caledonides
JO  - Contributions to Mineralogy and Petrology
SP  - 316
EP  - 335
VL  - 143
IS  - 3
AB  - The 440±5 Ma Bremanger Granitoid Complex (BGC), west Norwegian Caledonides, comprises tonalites, granodiorites and minor granites. The BGC is coeval with a nearby subduction-related gabbronoritic/dioritic intrusion (the 443±4 Ma Gåsøy Intrusion) and an ophiolite complex generated in a back-arc basin (the 443±3 Ma Solund-Stavfjord Ophiolite Complex). The BGC has a restricted isotopic variation (?Nd440Ma=+0.04 to –2.21, 87Sr/86Sr440 Ma=0.7045 to 0.7054) indicating a substantial mantle component, but it is enriched in crustal material relative to the primitive parts of the gabbronoritic rocks of the Gåsøy Intrusion (?Nd440 Ma=+1.67, 87Sr/86Sr440 Ma=0.7048). The chondrite-normalised REE patterns are fractionated [(La/Yb)N ~8 to ~16], smooth or with negative or positive Eu anomalies. Geochemical modelling suggests that the BGC does not represent residual melts produced by fractional crystallisation of basic magma, but is compatible with partial melting of mafic source rocks with various amounts of H2O. Residual garnet is suggested by HREE depletion, indicating a minimum pressure of 9–10 kbar during melting.
SN  - 1432-0967
UR  - https://doi.org/10.1007/s00410-001-0342-5
DO  - 10.1007/s00410-001-0342-5
ID  - Hansen2002
ER  - ","Hansen et al. 2002","https://link.springer.com/article/10.1007/s00410-001-0342-5#citeas","10.1007/s00410-001-0342-5","doi","09-08-2026"
"hansen_yb_layb_geom","Crustal melting in the lower parts of island arcs: an example from the Bremanger Granitoid Complex, west Norwegian Caledonides",2002,"TY  - JOUR
AU  - Hansen, Jogvan
AU  - Skjerlie, Kjell P.
AU  - Pedersen, Rolf B.
AU  - De La Rosa, Jesús
PY  - 2002
DA  - 2002/06/01
TI  - Crustal melting in the lower parts of island arcs: an example from the Bremanger Granitoid Complex, west Norwegian Caledonides
JO  - Contributions to Mineralogy and Petrology
SP  - 316
EP  - 335
VL  - 143
IS  - 3
AB  - The 440±5 Ma Bremanger Granitoid Complex (BGC), west Norwegian Caledonides, comprises tonalites, granodiorites and minor granites. The BGC is coeval with a nearby subduction-related gabbronoritic/dioritic intrusion (the 443±4 Ma Gåsøy Intrusion) and an ophiolite complex generated in a back-arc basin (the 443±3 Ma Solund-Stavfjord Ophiolite Complex). The BGC has a restricted isotopic variation (?Nd440Ma=+0.04 to –2.21, 87Sr/86Sr440 Ma=0.7045 to 0.7054) indicating a substantial mantle component, but it is enriched in crustal material relative to the primitive parts of the gabbronoritic rocks of the Gåsøy Intrusion (?Nd440 Ma=+1.67, 87Sr/86Sr440 Ma=0.7048). The chondrite-normalised REE patterns are fractionated [(La/Yb)N ~8 to ~16], smooth or with negative or positive Eu anomalies. Geochemical modelling suggests that the BGC does not represent residual melts produced by fractional crystallisation of basic magma, but is compatible with partial melting of mafic source rocks with various amounts of H2O. Residual garnet is suggested by HREE depletion, indicating a minimum pressure of 9–10 kbar during melting.
SN  - 1432-0967
UR  - https://doi.org/10.1007/s00410-001-0342-5
DO  - 10.1007/s00410-001-0342-5
ID  - Hansen2002
ER  - ","Hansen et al. 2002","https://link.springer.com/article/10.1007/s00410-001-0342-5#citeas","10.1007/s00410-001-0342-5","doi","09-08-2026"
"hollocher_layb_nbla_geom","Geochemistry of amphibolite-facies volcanics and gabbros of the Støren Nappe in extensions west and southwest of Trondheim, western gneiss region, Norway: A key to correlations and paleotectonic settings",2012,"TY  - JOUR
AU  - Hollocher, Kurt
AU  - Robinson, Peter
AU  - Walsh, Emily
AU  - Roberts, David
PY  - 2012/04/01
SP  - 357
EP  - 416
T1  - Geochemistry of amphibolite-facies volcanics and gabbros of the Støren Nappe in extensions west and southwest of Trondheim, Western Gneiss Region, Norway: a key to correlations and paleotectonic settings
VL  - 312
DO  - 10.2475/04.2012.01
JO  - American Journal of Science
ER  - ","Hollocher et al. 2012","https://ajsonline.org/article/61897-geochemistry-of-amphibolite-facies-volcanics-and-gabbros-of-the-storen-nappe-in-extensions-west-and-southwest-of-trondheim-western-gneiss-region-nor","10.2475/04.2012.01","doi","09-08-2026"
